,Loss,Val-Loss,Phi,Phi-Gradient
0,0.13952046632766724,0.06625835597515106,0.3140213588921269,0.0053373283076567635
1,0.0698184221982956,0.026286015287041664,0.31935868719978366,0.004012409405982048
2,0.02596595324575901,0.006931263022124767,0.322046177704091,0.0074047008206325204
3,0.009752754122018814,0.006872943602502346,0.3341680888410487,0.008849500969960483
4,0.011633489280939102,0.011258690617978573,0.33974517964401196,0.003142105113362992
5,0.014781960286200047,0.010145043954253197,0.3404522990677747,-0.0026359759033407204
6,0.012204669415950775,0.006708503235131502,0.3344732278373305,-0.005476835068671582
7,0.008601794950664043,0.004725376609712839,0.3294986289304315,-0.004805575496446363
8,0.007527870126068592,0.0046853902749717236,0.3248620768444378,-0.0024695142485670063
9,0.007992913015186787,0.004809982143342495,0.3245596004332975,-0.00030247641114028445
